sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
-630,37,Onslaught,150,1.0,0,0,0,0,0,150,0,0,0,0,0,0
37,569,Auto,90,1.0,90,0,0,0,0,150,0,0,0,0,0,0
170,702,Heavy Swing,240,1.0,90,0,240,0,0,150,0,0,0,0,0,0
2670,3293,Maim,340,1.0,90,0,240,0,340,150,0,0,0,0,0,0
3397,3929,Auto,90,1.0,180,0,240,0,340,150,0,0,0,0,0,0
5170,6819,Storm's Eye,500,1.0,180,0,240,0,340,150,0,0,0,500,0,0
6757,7289,Auto,90,1.0,270,0,240,0,340,150,0,0,0,500,0,0
7670,8607,Inner Chaos,700,1.0,270,0,240,700,340,150,0,0,0,500,0,0
8295,8918,Upheaval,420,1.0,270,0,240,700,340,150,0,0,0,500,0,420
8920,9587,Onslaught,150,1.0,270,0,240,700,340,300,0,0,0,500,0,420
10117,10649,Auto,90,1.0,360,0,240,700,340,300,0,0,0,500,0,420
10170,10793,Fell Cleave,580,1.0,360,580,240,700,340,300,0,0,0,500,0,420
10795,11462,Onslaught,150,1.0,360,580,240,700,340,450,0,0,0,500,0,420
12670,13293,Fell Cleave,580,1.0,360,1160,240,700,340,450,0,0,0,500,0,420
13477,14009,Auto,90,1.0,450,1160,240,700,340,450,0,0,0,500,0,420
15170,15793,Fell Cleave,580,1.0,450,1740,240,700,340,450,0,0,0,500,0,420
15795,16945,Primal Wrath,700,1.0,450,1740,240,700,340,450,0,0,700,500,0,420
16837,17369,Auto,90,1.0,540,1740,240,700,340,450,0,0,700,500,0,420
17670,18830,Primal Rend,720,1.0,540,1740,240,700,340,450,720,0,700,500,0,420
20197,20729,Auto,90,1.0,630,1740,240,700,340,450,720,0,700,500,0,420
20170,21230,Primal Ruination,800,1.0,630,1740,240,700,340,450,720,800,700,500,0,420
22670,23607,Inner Chaos,700,1.0,630,1740,240,1400,340,450,720,800,700,500,0,420
23557,24089,Auto,90,1.0,720,1740,240,1400,340,450,720,800,700,500,0,420
25171,25703,Heavy Swing,240,1.0,720,1740,480,1400,340,450,720,800,700,500,0,420
26917,27449,Auto,90,1.0,810,1740,480,1400,340,450,720,800,700,500,0,420
27671,28294,Maim,340,1.0,810,1740,480,1400,680,450,720,800,700,500,0,420
30277,30809,Auto,90,1.0,900,1740,480,1400,680,450,720,800,700,500,0,420
30796,31463,Onslaught,150,1.0,900,1740,480,1400,680,600,720,800,700,500,0,420
30171,31686,Storm's Path,500,1.0,900,1740,480,1400,680,600,720,800,700,500,500,420
32671,33294,Fell Cleave,580,1.0,900,2320,480,1400,680,600,720,800,700,500,500,420
33637,34169,Auto,90,1.0,990,2320,480,1400,680,600,720,800,700,500,500,420
35171,36108,Inner Chaos,700,1.0,990,2320,480,2100,680,600,720,800,700,500,500,420
36997,37529,Auto,90,1.0,1080,2320,480,2100,680,600,720,800,700,500,500,420
37671,38203,Heavy Swing,240,1.0,1080,2320,720,2100,680,600,720,800,700,500,500,420
38296,38919,Upheaval,420,1.0,1080,2320,720,2100,680,600,720,800,700,500,500,840
40171,40794,Maim,340,1.0,1080,2320,720,2100,1020,600,720,800,700,500,500,840
40357,40889,Auto,90,1.0,1170,2320,720,2100,1020,600,720,800,700,500,500,840
43717,44249,Auto,90,1.0,1260,2320,720,2100,1020,600,720,800,700,500,500,840
42671,44320,Storm's Eye,500,1.0,1260,2320,720,2100,1020,600,720,800,700,1000,500,840
45171,45703,Heavy Swing,240,1.0,1260,2320,960,2100,1020,600,720,800,700,1000,500,840
47077,47609,Auto,90,1.0,1350,2320,960,2100,1020,600,720,800,700,1000,500,840
47671,48294,Maim,340,1.0,1350,2320,960,2100,1360,600,720,800,700,1000,500,840
50437,50969,Auto,90,1.0,1440,2320,960,2100,1360,600,720,800,700,1000,500,840
50171,51820,Storm's Eye,500,1.0,1440,2320,960,2100,1360,600,720,800,700,1500,500,840
52671,53203,Heavy Swing,240,1.0,1440,2320,1200,2100,1360,600,720,800,700,1500,500,840
53797,54329,Auto,90,1.0,1530,2320,1200,2100,1360,600,720,800,700,1500,500,840
55171,55794,Maim,340,1.0,1530,2320,1200,2100,1700,600,720,800,700,1500,500,840
57157,57689,Auto,90,1.0,1620,2320,1200,2100,1700,600,720,800,700,1500,500,840
57671,58294,Fell Cleave,580,1.0,1620,2900,1200,2100,1700,600,720,800,700,1500,500,840
60517,61049,Auto,90,1.0,1710,2900,1200,2100,1700,600,720,800,700,1500,500,840
60171,61686,Storm's Path,500,1.0,1710,2900,1200,2100,1700,600,720,800,700,1500,1000,840
62671,63203,Heavy Swing,240,1.0,1710,2900,1440,2100,1700,600,720,800,700,1500,1000,840
63877,64409,Auto,90,1.0,1800,2900,1440,2100,1700,600,720,800,700,1500,1000,840
65171,65794,Maim,340,1.0,1800,2900,1440,2100,2040,600,720,800,700,1500,1000,840
67237,67769,Auto,90,1.0,1890,2900,1440,2100,2040,600,720,800,700,1500,1000,840
67671,68294,Fell Cleave,580,1.0,1890,3480,1440,2100,2040,600,720,800,700,1500,1000,840
68296,68919,Upheaval,420,1.0,1890,3480,1440,2100,2040,600,720,800,700,1500,1000,1260
70171,70794,Fell Cleave,580,1.0,1890,4060,1440,2100,2040,600,720,800,700,1500,1000,1260
70597,71129,Auto,90,1.0,1980,4060,1440,2100,2040,600,720,800,700,1500,1000,1260
72671,73294,Fell Cleave,580,1.0,1980,4640,1440,2100,2040,600,720,800,700,1500,1000,1260
73296,74446,Primal Wrath,700,1.0,1980,4640,1440,2100,2040,600,720,800,1400,1500,1000,1260
73957,74489,Auto,90,1.0,2070,4640,1440,2100,2040,600,720,800,1400,1500,1000,1260
75172,76332,Primal Rend,720,1.0,2070,4640,1440,2100,2040,600,1440,800,1400,1500,1000,1260
77317,77849,Auto,90,1.0,2160,4640,1440,2100,2040,600,1440,800,1400,1500,1000,1260
77672,78732,Primal Ruination,800,1.0,2160,4640,1440,2100,2040,600,1440,1600,1400,1500,1000,1260
80172,81109,Inner Chaos,700,1.0,2160,4640,1440,2800,2040,600,1440,1600,1400,1500,1000,1260
80677,81209,Auto,90,1.0,2250,4640,1440,2800,2040,600,1440,1600,1400,1500,1000,1260
82672,84187,Storm's Path,500,1.0,2250,4640,1440,2800,2040,600,1440,1600,1400,1500,1500,1260
84037,84569,Auto,90,1.0,2340,4640,1440,2800,2040,600,1440,1600,1400,1500,1500,1260
85172,85795,Fell Cleave,580,1.0,2340,5220,1440,2800,2040,600,1440,1600,1400,1500,1500,1260
87397,87929,Auto,90,1.0,2430,5220,1440,2800,2040,600,1440,1600,1400,1500,1500,1260
87672,88204,Heavy Swing,240,1.0,2430,5220,1680,2800,2040,600,1440,1600,1400,1500,1500,1260
90172,90795,Maim,340,1.0,2430,5220,1680,2800,2380,600,1440,1600,1400,1500,1500,1260
90757,91289,Auto,90,1.0,2520,5220,1680,2800,2380,600,1440,1600,1400,1500,1500,1260
92672,94321,Storm's Eye,500,1.0,2520,5220,1680,2800,2380,600,1440,1600,1400,2000,1500,1260
94117,94649,Auto,90,1.0,2610,5220,1680,2800,2380,600,1440,1600,1400,2000,1500,1260
95172,95704,Heavy Swing,240,1.0,2610,5220,1920,2800,2380,600,1440,1600,1400,2000,1500,1260
97477,98009,Auto,90,1.0,2700,5220,1920,2800,2380,600,1440,1600,1400,2000,1500,1260
97672,98295,Maim,340,1.0,2700,5220,1920,2800,2720,600,1440,1600,1400,2000,1500,1260
98297,98920,Upheaval,420,1.0,2700,5220,1920,2800,2720,600,1440,1600,1400,2000,1500,1680
100837,101369,Auto,90,1.0,2790,5220,1920,2800,2720,600,1440,1600,1400,2000,1500,1680
100172,101687,Storm's Path,500,1.0,2790,5220,1920,2800,2720,600,1440,1600,1400,2000,2000,1680
102672,103204,Heavy Swing,240,1.0,2790,5220,2160,2800,2720,600,1440,1600,1400,2000,2000,1680
104197,104729,Auto,90,1.0,2880,5220,2160,2800,2720,600,1440,1600,1400,2000,2000,1680
105172,105795,Maim,340,1.0,2880,5220,2160,2800,3060,600,1440,1600,1400,2000,2000,1680
107557,108089,Auto,90,1.0,2970,5220,2160,2800,3060,600,1440,1600,1400,2000,2000,1680
107672,109187,Storm's Path,500,1.0,2970,5220,2160,2800,3060,600,1440,1600,1400,2000,2500,1680
110172,110704,Heavy Swing,240,1.0,2970,5220,2400,2800,3060,600,1440,1600,1400,2000,2500,1680
110917,111449,Auto,90,1.0,3060,5220,2400,2800,3060,600,1440,1600,1400,2000,2500,1680
112672,113295,Maim,340,1.0,3060,5220,2400,2800,3400,600,1440,1600,1400,2000,2500,1680
114277,114809,Auto,90,1.0,3150,5220,2400,2800,3400,600,1440,1600,1400,2000,2500,1680
115172,115795,Fell Cleave,580,1.0,3150,5800,2400,2800,3400,600,1440,1600,1400,2000,2500,1680
117637,118169,Auto,90,1.0,3240,5800,2400,2800,3400,600,1440,1600,1400,2000,2500,1680
117672,119187,Storm's Path,500,1.0,3240,5800,2400,2800,3400,600,1440,1600,1400,2000,3000,1680
120172,120704,Heavy Swing,240,1.0,3240,5800,2640,2800,3400,600,1440,1600,1400,2000,3000,1680
120997,121529,Auto,90,1.0,3330,5800,2640,2800,3400,600,1440,1600,1400,2000,3000,1680
122672,123295,Maim,340,1.0,3330,5800,2640,2800,3740,600,1440,1600,1400,2000,3000,1680
124357,124889,Auto,90,1.0,3420,5800,2640,2800,3740,600,1440,1600,1400,2000,3000,1680
125173,125796,Fell Cleave,580,1.0,3420,6380,2640,2800,3740,600,1440,1600,1400,2000,3000,1680
127717,128249,Auto,90,1.0,3510,6380,2640,2800,3740,600,1440,1600,1400,2000,3000,1680
127673,128610,Inner Chaos,700,1.0,3510,6380,2640,3500,3740,600,1440,1600,1400,2000,3000,1680
128298,128921,Upheaval,420,1.0,3510,6380,2640,3500,3740,600,1440,1600,1400,2000,3000,2100
128923,129590,Onslaught,150,1.0,3510,6380,2640,3500,3740,750,1440,1600,1400,2000,3000,2100
130173,131333,Primal Rend,720,1.0,3510,6380,2640,3500,3740,750,2160,1600,1400,2000,3000,2100
131077,131609,Auto,90,1.0,3600,6380,2640,3500,3740,750,2160,1600,1400,2000,3000,2100
131373,132040,Onslaught,150,1.0,3600,6380,2640,3500,3740,900,2160,1600,1400,2000,3000,2100
132673,133296,Fell Cleave,580,1.0,3600,6960,2640,3500,3740,900,2160,1600,1400,2000,3000,2100
133298,133965,Onslaught,150,1.0,3600,6960,2640,3500,3740,1050,2160,1600,1400,2000,3000,2100
134437,134969,Auto,90,1.0,3690,6960,2640,3500,3740,1050,2160,1600,1400,2000,3000,2100
135173,135796,Fell Cleave,580,1.0,3690,7540,2640,3500,3740,1050,2160,1600,1400,2000,3000,2100
137673,138296,Fell Cleave,580,1.0,3690,8120,2640,3500,3740,1050,2160,1600,1400,2000,3000,2100
137797,138329,Auto,90,1.0,3780,8120,2640,3500,3740,1050,2160,1600,1400,2000,3000,2100
138298,139448,Primal Wrath,700,1.0,3780,8120,2640,3500,3740,1050,2160,1600,2100,2000,3000,2100
140173,141233,Primal Ruination,800,1.0,3780,8120,2640,3500,3740,1050,2160,2400,2100,2000,3000,2100
141157,141689,Auto,90,1.0,3870,8120,2640,3500,3740,1050,2160,2400,2100,2000,3000,2100
142673,144322,Storm's Eye,500,1.0,3870,8120,2640,3500,3740,1050,2160,2400,2100,2500,3000,2100
144517,145049,Auto,90,1.0,3960,8120,2640,3500,3740,1050,2160,2400,2100,2500,3000,2100
145173,145705,Heavy Swing,240,1.0,3960,8120,2880,3500,3740,1050,2160,2400,2100,2500,3000,2100
147877,148409,Auto,90,1.0,4050,8120,2880,3500,3740,1050,2160,2400,2100,2500,3000,2100
147673,148610,Inner Chaos,700,1.0,4050,8120,2880,4200,3740,1050,2160,2400,2100,2500,3000,2100
150173,150796,Maim,340,1.0,4050,8120,2880,4200,4080,1050,2160,2400,2100,2500,3000,2100
151237,151769,Auto,90,1.0,4140,8120,2880,4200,4080,1050,2160,2400,2100,2500,3000,2100
152673,154188,Storm's Path,500,1.0,4140,8120,2880,4200,4080,1050,2160,2400,2100,2500,3500,2100
154597,155129,Auto,90,1.0,4230,8120,2880,4200,4080,1050,2160,2400,2100,2500,3500,2100
155173,155796,Fell Cleave,580,1.0,4230,8700,2880,4200,4080,1050,2160,2400,2100,2500,3500,2100
157673,158205,Heavy Swing,240,1.0,4230,8700,3120,4200,4080,1050,2160,2400,2100,2500,3500,2100
157957,158489,Auto,90,1.0,4320,8700,3120,4200,4080,1050,2160,2400,2100,2500,3500,2100
158298,158921,Upheaval,420,1.0,4320,8700,3120,4200,4080,1050,2160,2400,2100,2500,3500,2520
160173,160796,Maim,340,1.0,4320,8700,3120,4200,4420,1050,2160,2400,2100,2500,3500,2520
161317,161849,Auto,90,1.0,4410,8700,3120,4200,4420,1050,2160,2400,2100,2500,3500,2520
162673,164322,Storm's Eye,500,1.0,4410,8700,3120,4200,4420,1050,2160,2400,2100,3000,3500,2520
164677,165209,Auto,90,1.0,4500,8700,3120,4200,4420,1050,2160,2400,2100,3000,3500,2520
165173,165705,Heavy Swing,240,1.0,4500,8700,3360,4200,4420,1050,2160,2400,2100,3000,3500,2520
167673,168296,Maim,340,1.0,4500,8700,3360,4200,4760,1050,2160,2400,2100,3000,3500,2520
168037,168569,Auto,90,1.0,4590,8700,3360,4200,4760,1050,2160,2400,2100,3000,3500,2520
170173,171688,Storm's Path,500,1.0,4590,8700,3360,4200,4760,1050,2160,2400,2100,3000,4000,2520
171397,171929,Auto,90,1.0,4680,8700,3360,4200,4760,1050,2160,2400,2100,3000,4000,2520
172673,173296,Fell Cleave,580,1.0,4680,9280,3360,4200,4760,1050,2160,2400,2100,3000,4000,2520
174757,175289,Auto,90,1.0,4770,9280,3360,4200,4760,1050,2160,2400,2100,3000,4000,2520
175174,175706,Heavy Swing,240,1.0,4770,9280,3600,4200,4760,1050,2160,2400,2100,3000,4000,2520
177674,178297,Maim,340,1.0,4770,9280,3600,4200,5100,1050,2160,2400,2100,3000,4000,2520
178117,178649,Auto,90,1.0,4860,9280,3600,4200,5100,1050,2160,2400,2100,3000,4000,2520
180174,181689,Storm's Path,500,1.0,4860,9280,3600,4200,5100,1050,2160,2400,2100,3000,4500,2520
181477,182009,Auto,90,1.0,4950,9280,3600,4200,5100,1050,2160,2400,2100,3000,4500,2520
182674,183206,Heavy Swing,240,1.0,4950,9280,3840,4200,5100,1050,2160,2400,2100,3000,4500,2520
184837,185369,Auto,90,1.0,5040,9280,3840,4200,5100,1050,2160,2400,2100,3000,4500,2520
185174,185797,Maim,340,1.0,5040,9280,3840,4200,5440,1050,2160,2400,2100,3000,4500,2520
187674,188297,Fell Cleave,580,1.0,5040,9860,3840,4200,5440,1050,2160,2400,2100,3000,4500,2520
188197,188729,Auto,90,1.0,5130,9860,3840,4200,5440,1050,2160,2400,2100,3000,4500,2520
188299,188922,Upheaval,420,1.0,5130,9860,3840,4200,5440,1050,2160,2400,2100,3000,4500,2940
188924,189591,Onslaught,150,1.0,5130,9860,3840,4200,5440,1200,2160,2400,2100,3000,4500,2940
190174,190797,Fell Cleave,580,1.0,5130,10440,3840,4200,5440,1200,2160,2400,2100,3000,4500,2940
191557,192089,Auto,90,1.0,5220,10440,3840,4200,5440,1200,2160,2400,2100,3000,4500,2940
192674,193297,Fell Cleave,580,1.0,5220,11020,3840,4200,5440,1200,2160,2400,2100,3000,4500,2940
193299,194449,Primal Wrath,700,1.0,5220,11020,3840,4200,5440,1200,2160,2400,2800,3000,4500,2940
194917,195449,Auto,90,1.0,5310,11020,3840,4200,5440,1200,2160,2400,2800,3000,4500,2940
195174,196334,Primal Rend,720,1.0,5310,11020,3840,4200,5440,1200,2880,2400,2800,3000,4500,2940
197674,198734,Primal Ruination,800,1.0,5310,11020,3840,4200,5440,1200,2880,3200,2800,3000,4500,2940
198277,198809,Auto,90,1.0,5400,11020,3840,4200,5440,1200,2880,3200,2800,3000,4500,2940
200174,201111,Inner Chaos,700,1.0,5400,11020,3840,4900,5440,1200,2880,3200,2800,3000,4500,2940
201637,202169,Auto,90,1.0,5490,11020,3840,4900,5440,1200,2880,3200,2800,3000,4500,2940
202674,203297,Fell Cleave,580,1.0,5490,11600,3840,4900,5440,1200,2880,3200,2800,3000,4500,2940
204997,205529,Auto,90,1.0,5580,11600,3840,4900,5440,1200,2880,3200,2800,3000,4500,2940
205174,206823,Storm's Eye,500,1.0,5580,11600,3840,4900,5440,1200,2880,3200,2800,3500,4500,2940
207674,208206,Heavy Swing,240,1.0,5580,11600,4080,4900,5440,1200,2880,3200,2800,3500,4500,2940
208357,208889,Auto,90,1.0,5670,11600,4080,4900,5440,1200,2880,3200,2800,3500,4500,2940
210174,210797,Maim,340,1.0,5670,11600,4080,4900,5780,1200,2880,3200,2800,3500,4500,2940
211717,212249,Auto,90,1.0,5760,11600,4080,4900,5780,1200,2880,3200,2800,3500,4500,2940
212674,214189,Storm's Path,500,1.0,5760,11600,4080,4900,5780,1200,2880,3200,2800,3500,5000,2940
215077,215609,Auto,90,1.0,5850,11600,4080,4900,5780,1200,2880,3200,2800,3500,5000,2940
215174,215706,Heavy Swing,240,1.0,5850,11600,4320,4900,5780,1200,2880,3200,2800,3500,5000,2940
217674,218297,Maim,340,1.0,5850,11600,4320,4900,6120,1200,2880,3200,2800,3500,5000,2940
218299,218922,Upheaval,420,1.0,5850,11600,4320,4900,6120,1200,2880,3200,2800,3500,5000,3360
218437,218969,Auto,90,1.0,5940,11600,4320,4900,6120,1200,2880,3200,2800,3500,5000,3360
220174,221689,Storm's Path,500,1.0,5940,11600,4320,4900,6120,1200,2880,3200,2800,3500,5500,3360
221797,222329,Auto,90,1.0,6030,11600,4320,4900,6120,1200,2880,3200,2800,3500,5500,3360
222674,223206,Heavy Swing,240,1.0,6030,11600,4560,4900,6120,1200,2880,3200,2800,3500,5500,3360
225157,225689,Auto,90,1.0,6120,11600,4560,4900,6120,1200,2880,3200,2800,3500,5500,3360
225175,225798,Maim,340,1.0,6120,11600,4560,4900,6460,1200,2880,3200,2800,3500,5500,3360
228517,229049,Auto,90,1.0,6210,11600,4560,4900,6460,1200,2880,3200,2800,3500,5500,3360
227675,229324,Storm's Eye,500,1.0,6210,11600,4560,4900,6460,1200,2880,3200,2800,4000,5500,3360
230175,230707,Heavy Swing,240,1.0,6210,11600,4800,4900,6460,1200,2880,3200,2800,4000,5500,3360
231877,232409,Auto,90,1.0,6300,11600,4800,4900,6460,1200,2880,3200,2800,4000,5500,3360
232675,233298,Maim,340,1.0,6300,11600,4800,4900,6800,1200,2880,3200,2800,4000,5500,3360
235237,235769,Auto,90,1.0,6390,11600,4800,4900,6800,1200,2880,3200,2800,4000,5500,3360
235175,235798,Fell Cleave,580,1.0,6390,12180,4800,4900,6800,1200,2880,3200,2800,4000,5500,3360
238597,239129,Auto,90,1.0,6480,12180,4800,4900,6800,1200,2880,3200,2800,4000,5500,3360
237675,239190,Storm's Path,500,1.0,6480,12180,4800,4900,6800,1200,2880,3200,2800,4000,6000,3360
240175,240707,Heavy Swing,240,1.0,6480,12180,5040,4900,6800,1200,2880,3200,2800,4000,6000,3360
241957,242489,Auto,90,1.0,6570,12180,5040,4900,6800,1200,2880,3200,2800,4000,6000,3360
242675,243298,Maim,340,1.0,6570,12180,5040,4900,7140,1200,2880,3200,2800,4000,6000,3360
245175,245798,Fell Cleave,580,1.0,6570,12760,5040,4900,7140,1200,2880,3200,2800,4000,6000,3360
245317,245849,Auto,90,1.0,6660,12760,5040,4900,7140,1200,2880,3200,2800,4000,6000,3360
247675,248612,Inner Chaos,700,1.0,6660,12760,5040,5600,7140,1200,2880,3200,2800,4000,6000,3360
248300,248923,Upheaval,420,1.0,6660,12760,5040,5600,7140,1200,2880,3200,2800,4000,6000,3780
248677,249209,Auto,90,1.0,6750,12760,5040,5600,7140,1200,2880,3200,2800,4000,6000,3780
248925,249592,Onslaught,150,1.0,6750,12760,5040,5600,7140,1350,2880,3200,2800,4000,6000,3780
250175,251335,Primal Rend,720,1.0,6750,12760,5040,5600,7140,1350,3600,3200,2800,4000,6000,3780
251375,252042,Onslaught,150,1.0,6750,12760,5040,5600,7140,1500,3600,3200,2800,4000,6000,3780
252037,252569,Auto,90,1.0,6840,12760,5040,5600,7140,1500,3600,3200,2800,4000,6000,3780
252675,253298,Fell Cleave,580,1.0,6840,13340,5040,5600,7140,1500,3600,3200,2800,4000,6000,3780
253300,253967,Onslaught,150,1.0,6840,13340,5040,5600,7140,1650,3600,3200,2800,4000,6000,3780
255175,255798,Fell Cleave,580,1.0,6840,13920,5040,5600,7140,1650,3600,3200,2800,4000,6000,3780
255397,255929,Auto,90,1.0,6930,13920,5040,5600,7140,1650,3600,3200,2800,4000,6000,3780
257675,258298,Fell Cleave,580,1.0,6930,14500,5040,5600,7140,1650,3600,3200,2800,4000,6000,3780
258757,259289,Auto,90,1.0,7020,14500,5040,5600,7140,1650,3600,3200,2800,4000,6000,3780
258300,259450,Primal Wrath,700,1.0,7020,14500,5040,5600,7140,1650,3600,3200,3500,4000,6000,3780
260175,261235,Primal Ruination,800,1.0,7020,14500,5040,5600,7140,1650,3600,4000,3500,4000,6000,3780
